# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  135       5.210822769036e-10       1.501898662089e-13      -5.773751066246e-12       7.589090318531e-16       4.502948557485e-12       7.458047906020e-13      -4.906829096056e-15 
  136       5.257295610492e-10       1.504944040943e-13      -5.820927233473e-12       7.708904196480e-16       4.410320374542e-12       7.339650209643e-13      -4.836203625725e-15 
  137       5.303707392748e-10       1.507330616211e-13      -5.865650358627e-12       7.829914489259e-16       4.320271561309e-12       7.223905803186e-13      -4.766148795290e-15 
  138       5.350045118531e-10       1.509057255431e-13      -5.907858553322e-12       7.952129526508e-16       4.232719202419e-12       7.110781461211e-13      -4.696712793839e-15 
  139       5.396295087081e-10       1.510123609440e-13      -5.947490777780e-12       8.075557692398e-16       4.147565649182e-12       7.000229981036e-13      -4.627941184215e-15 
  140       5.442442878354e-10       1.510530129406e-13      -5.984486878391e-12       8.200207424869e-16       4.064698177253e-12       6.892189833482e-13      -4.559876807243e-15 
  141       5.488473337233e-10       1.510278083856e-13      -6.018787625284e-12       8.326087214871e-16       3.983988644297e-12       6.786584813613e-13      -4.492559685966e-15 
  142       5.534370557735e-10       1.509369575703e-13      -6.050334749892e-12       8.453205605599e-16       3.905293147660e-12       6.683323691486e-13      -4.426026929873e-15 
  143       5.580117867222e-10       1.507807559274e-13      -6.079070982517e-12       8.581571191738e-16       3.828451682033e-12       6.582299862889e-13      -4.360312639137e-15 
  144       5.625699174308e-10       1.505595973220e-13      -6.104940622998e-12       8.711192115082e-16       3.753321687103e-12       6.483414118169e-13      -4.295438737813e-15 
  145       5.671103195700e-10       1.502740118061e-13      -6.127891236809e-12       8.842074496976e-16       3.679883140736e-12       6.386646215864e-13      -4.231386657101e-15 
  146       5.716319617993e-10       1.499246348404e-13      -6.147872198363e-12       8.974223849169e-16       3.608143224049e-12       6.291989734200e-13      -4.168122665385e-15 
  147       5.761337763496e-10       1.495121977943e-13      -6.164834213196e-12       9.107645559930e-16       3.538103215512e-12       6.199429372151e-13      -4.105606542000e-15 
  148       5.806146582279e-10       1.490375297155e-13      -6.178729358597e-12       9.242344890392e-16       3.469758343386e-12       6.108940733043e-13      -4.043791429328e-15 
  149       5.850734644219e-10       1.485015590991e-13      -6.189511124240e-12       9.378326970895e-16       3.403097638156e-12       6.020490108163e-13      -3.982623684897e-15 
  150       5.895090131046e-10       1.479053156576e-13      -6.197134452811e-12       9.515596797336e-16       3.338103784974e-12       5.934034260365e-13      -3.922042733485e-15 
  151       5.939200828388e-10       1.472499320897e-13      -6.201555780639e-12       9.654159227507e-16       3.274752976090e-12       5.849520207678e-13      -3.861980919216e-15 
  152       5.983054117817e-10       1.465366458502e-13      -6.202733078327e-12       9.794018977443e-16       3.213014763291e-12       5.766885006914e-13      -3.802363357660e-15 
  153       6.026636968894e-10       1.457668009193e-13      -6.200625891378e-12       9.935180617768e-16       3.152851910341e-12       5.686055537276e-13      -3.743107787938e-15 
  154       6.069935931214e-10       1.449418495718e-13      -6.195195380832e-12       1.007764857004e-15       3.094220245412e-12       5.606948283959e-13      -3.684124424813e-15 
  155       6.112937126454e-10       1.440633541470e-13      -6.186404363888e-12       1.022142710308e-15       3.037068513528e-12       5.529469121767e-13      -3.625315810797e-15 
  156       6.155626240418e-10       1.431329888177e-13      -6.174217354539e-12       1.036652032936e-15       2.981338228993e-12       5.453513098711e-13      -3.566576668248e-15 
